answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
1,2517.12,7,hund1.bmp,1,[-0.14444444  0.39555556],[-0.16666667  0.4       ],0.02266230894930127,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,6465.73,11,pinguin1.bmp,1,[ 0.12592593 -0.72666667],[0.16666667 0.        ],0.7278078402988997,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1761.0,8,kerze1.bmp,1,[-0.53888889 -0.34666667],[-0.5 -0.4],0.06600598551235175,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2327.55,3,eis1.bmp,1,[0.81481481 0.35333333],[0.83333333 0.        ],0.35381828665653386,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2674.21,4,elefant1.bmp,1,[-0.19444444 -0.85777778],[-0.16666667 -0.8       ],0.06410831883000731,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3009.07,5,fisch1.bmp,1,[ 0.24259259 -0.80222222],[ 0.5 -0.4],0.4775366891010425,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2238.46,10,pferd1.bmp,1,[-0.13333333  0.08      ],[-0.16666667  0.        ],0.08666666666666666,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2787.66,14,schlaeger1.bmp,1,[ 0.8037037  -0.80444444],[ 0.83333333 -0.8       ],0.0299611087646766,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2188.68,9,klammer1.bmp,1,[ 0.14259259 -0.11111111],[0.5 0. ],0.3742802878619581,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2699.61,2,blume1.bmp,1,[-0.55185185 -0.02      ],[-0.83333333 -0.4       ],0.4728972662397295,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1525.72,13,schale1.bmp,1,[ 0.20925926 -0.86888889],[ 0.16666667 -0.8       ],0.08099264137009149,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4240.83,1,auto1.bmp,1,[ 0.18888889 -0.08      ],[0.83333333 0.4       ],0.8035599803221343,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2194.36,6,hammer1.bmp,1,[-0.83518519 -0.44444444],[-0.83333333 -0.8       ],0.35556037805371543,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2243.51,0,apfel1.bmp,1,[0.50555556 0.44      ],[ 0.16666667 -0.4       ],0.905784565452705,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3424.68,12,reifen1.bmp,1,[-0.11851852  0.34      ],[-0.83333333  0.4       ],0.7173285296701492,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1430.61,8,kerze1.bmp,2,[-0.46666667 -0.44888889],[-0.5 -0.4],0.059171230914197084,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,5826.21,12,reifen1.bmp,2,[-0.46851852 -0.03111111],[-0.83333333  0.4       ],0.564753609312791,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1871.49,5,fisch1.bmp,2,[ 0.40740741 -0.45777778],[ 0.5 -0.4],0.10914055070392548,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3117.01,2,blume1.bmp,2,[-0.75555556 -0.12222222],[-0.83333333 -0.4       ],0.28846122190549267,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1437.39,14,schlaeger1.bmp,2,[ 0.87962963 -0.88222222],[ 0.83333333 -0.8       ],0.09436016573700444,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2422.53,3,eis1.bmp,2,[0.46296296 0.38666667],[0.83333333 0.        ],0.5354300349806653,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1333.27,6,hammer1.bmp,2,[-0.84814815 -0.91555556],[-0.83333333 -0.8       ],0.11650135260051848,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3411.42,0,apfel1.bmp,2,[ 0.07407407 -0.32888889],[ 0.16666667 -0.4       ],0.11674835470564293,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2546.11,7,hund1.bmp,2,[-0.17777778  0.30222222],[-0.16666667  0.4       ],0.09840706589104248,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4508.23,11,pinguin1.bmp,2,[ 0.39074074 -0.32444444],[0.16666667 0.        ],0.3943011389826535,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1522.66,1,auto1.bmp,2,[0.79259259 0.31777778],[0.83333333 0.4       ],0.09176220236712265,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1516.56,4,elefant1.bmp,2,[-0.16851852 -0.91555556],[-0.16666667 -0.8       ],0.11557039315946921,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1279.45,10,pferd1.bmp,2,[-0.12777778 -0.00888889],[-0.16666667  0.        ],0.039891829046702736,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1719.38,13,schale1.bmp,2,[ 0.13518519 -0.77555556],[ 0.16666667 -0.8       ],0.03985742766996375,BME306,5.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
