answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
1,4190.48,8,kerze1.bmp,1,[-0.50555556 -0.39777778],[-0.5 -0.4],0.005983516452371659,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2560.57,1,auto1.bmp,1,[0.87407407 0.36444444],[0.83333333 0.4       ],0.054074074074074156,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3252.9,9,klammer1.bmp,1,[ 0.5037037  -0.07555556],[0.5 0. ],0.0756462781399949,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,13922.46,3,eis1.bmp,1,[0.53333333 0.02      ],[0.83333333 0.        ],0.3006659275674582,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,5732.19,2,blume1.bmp,1,[-0.82222222 -0.71555556],[-0.83333333 -0.4       ],0.3157511131130003,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,4496.94,14,schlaeger1.bmp,1,[ 0.82777778 -0.77111111],[ 0.83333333 -0.8       ],0.029418227321941704,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,5814.0,13,schale1.bmp,1,[ 0.19444444 -0.82      ],[ 0.16666667 -0.8       ],0.03422871511277634,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2466.15,10,pferd1.bmp,1,[-0.13333333 -0.04444444],[-0.16666667  0.        ],0.05555555555555553,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1562.83,11,pinguin1.bmp,1,[0.11111111 0.06888889],[0.16666667 0.        ],0.08849914556328832,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3352.22,4,elefant1.bmp,1,[-0.23703704 -0.86888889],[-0.16666667 -0.8       ],0.09847673856504786,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,11395.39,6,hammer1.bmp,1,[ 0.58703704 -0.80888889],[-0.83333333 -0.8       ],1.4203981840919617,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,8788.44,0,apfel1.bmp,1,[ 0.47962963 -0.7       ],[ 0.16666667 -0.4       ],0.4335271804472667,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1711.92,7,hund1.bmp,1,[-0.14814815  0.38666667],[-0.16666667  0.4       ],0.022819143408517636,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4654.48,12,reifen1.bmp,1,[-0.79074074  0.79555556],[-0.83333333  0.4       ],0.3978420873595737,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,10586.28,5,fisch1.bmp,1,[ 0.51481481 -0.44      ],[ 0.5 -0.4],0.042655348293001334,BME306,9.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
