answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
1,2842.03,11,pinguin1.bmp,1,[0.0537037  0.08222222],[0.16666667 0.        ],0.13971801898299385,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2548.8,1,auto1.bmp,1,[0.82222222 0.40888889],[0.83333333 0.4       ],0.014229164972072985,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3655.6,2,blume1.bmp,1,[-0.18888889 -0.4       ],[-0.83333333 -0.4       ],0.6444444444444445,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2579.26,3,eis1.bmp,1,[ 0.77777778 -0.02666667],[0.83333333 0.        ],0.0616241094393869,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2498.33,10,pferd1.bmp,1,[-0.09259259  0.07777778],[-0.16666667  0.        ],0.1074074074074074,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4263.77,4,elefant1.bmp,1,[-0.5        -0.69555556],[-0.16666667 -0.8       ],0.34931325924794177,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2320.02,7,hund1.bmp,1,[-0.12962963  0.39111111],[-0.16666667  0.4       ],0.038088770762022044,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,4520.04,12,reifen1.bmp,1,[-0.80555556  0.38      ],[-0.83333333  0.4       ],0.03422871511277645,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3987.06,8,kerze1.bmp,1,[-0.18518519 -0.73111111],[-0.5 -0.4],0.45688394098295987,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2675.72,14,schlaeger1.bmp,1,[ 0.72222222 -0.78888889],[ 0.83333333 -0.8       ],0.11166528467912107,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1853.25,5,fisch1.bmp,1,[ 0.51851852 -0.38222222],[ 0.5 -0.4],0.02567070140913095,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,5584.76,9,klammer1.bmp,1,[ 0.36481481 -0.06222222],[0.5 0. ],0.1488174695115612,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3846.9,6,hammer1.bmp,1,[-0.7462963  -0.70666667],[-0.83333333 -0.8       ],0.1276187953527915,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2856.9,13,schale1.bmp,1,[ 0.04814815 -0.74222222],[ 0.16666667 -0.8       ],0.13185185185185183,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,11701.28,0,apfel1.bmp,1,[ 0.52037037 -0.23333333],[ 0.16666667 -0.4       ],0.3910039485625372,5GCA,2.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
