answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
1,1713.15,1,auto1.bmp,1,[0.72222222 0.30666667],[0.83333333 0.4       ],0.14510957970946242,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1849.45,8,kerze1.bmp,1,[-0.40555556  0.48      ],[-0.5 -0.4],0.8850535311982094,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3652.33,12,reifen1.bmp,1,[-0.47777778  0.06222222],[-0.83333333  0.4       ],0.4904218390803102,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3942.92,14,schlaeger1.bmp,1,[ 0.80925926 -0.00666667],[ 0.83333333 -0.8       ],0.7936985188472395,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3437.48,7,hund1.bmp,1,[-0.13148148  0.38222222],[-0.16666667  0.4       ],0.03942139824044584,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1776.26,5,fisch1.bmp,1,[ 0.53888889 -0.7       ],[ 0.5 -0.4],0.3025100753347106,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2558.92,4,elefant1.bmp,1,[-0.4037037  -0.14222222],[-0.16666667 -0.8       ],0.699183925634428,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,5083.24,9,klammer1.bmp,1,[ 0.57037037 -0.02222222],[0.5 0. ],0.07379577350063429,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2276.87,3,eis1.bmp,1,[ 0.80740741 -0.27555556],[0.83333333 0.        ],0.2767725019445528,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1813.02,11,pinguin1.bmp,1,[ 0.16111111 -0.02444444],[0.16666667 0.        ],0.02506780927261883,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2963.97,10,pferd1.bmp,1,[-0.67777778 -0.28      ],[-0.16666667  0.        ],0.5827817498011023,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1418.94,2,blume1.bmp,1,[0.75185185 0.90666667],[-0.83333333 -0.4       ],2.0543100664477034,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1837.93,0,apfel1.bmp,1,[ 0.22407407 -0.46666667],[ 0.16666667 -0.4       ],0.08797758163125707,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2259.52,6,hammer1.bmp,1,[0.52407407 0.04222222],[-0.83333333 -0.8       ],1.597464597820383,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1294.51,13,schale1.bmp,1,[0.80740741 0.05555556],[ 0.16666667 -0.8       ],1.0688891455557816,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,6350.76,3,eis1.bmp,2,[ 0.50185185 -0.03333333],[0.83333333 0.        ],0.3331532435325655,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1572.48,11,pinguin1.bmp,2,[-0.1037037   0.29111111],[0.16666667 0.        ],0.397298145209057,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1438.42,14,schlaeger1.bmp,2,[ 0.80740741 -0.18444444],[ 0.83333333 -0.8       ],0.6161012868112071,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3023.84,9,klammer1.bmp,2,[0.51666667 0.01777778],[0.5 0. ],0.024368569110512526,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1142.23,6,hammer1.bmp,2,[0.14444444 0.37777778],[-0.83333333 -0.8       ],1.5307546754928467,5GCA,3.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
