answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
1,3276.93,10,pferd1.bmp,1,[-0.1037037 -0.04     ],[-0.16666667  0.        ],0.07459446832758741,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,6754.92,8,kerze1.bmp,1,[-0.43518519 -0.47111111],[-0.5 -0.4],0.09621720398627016,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,6335.32,0,apfel1.bmp,1,[-0.1 -0.4],[ 0.16666667 -0.4       ],0.2666666666666666,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2964.32,11,pinguin1.bmp,1,[ 0.2        -0.00888889],[0.16666667 0.        ],0.03449816599168899,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,10600.7,12,reifen1.bmp,1,[-0.10185185  0.70666667],[-0.83333333  0.4       ],0.7931642971004099,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2970.13,14,schlaeger1.bmp,1,[ 0.70740741 -0.67111111],[ 0.83333333 -0.8       ],0.1801934640860044,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,10851.33,4,elefant1.bmp,1,[ 0.21851852 -0.15555556],[-0.16666667 -0.8       ],0.7507837697109961,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,5702.63,5,fisch1.bmp,1,[ 0.03703704 -0.46222222],[ 0.5 -0.4],0.46712558270096655,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,5110.7,1,auto1.bmp,1,[0.71666667 0.37777778],[0.83333333 0.4       ],0.118764212924622,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,8203.61,13,schale1.bmp,1,[ 0.07037037 -0.81555556],[ 0.16666667 -0.8       ],0.09754461537689332,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,5962.66,9,klammer1.bmp,1,[-0.19074074  0.38222222],[0.5 0. ],0.789440686866063,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2461.04,7,hund1.bmp,1,[-0.20925926  0.36666667],[-0.16666667  0.4       ],0.05408548839448247,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,4294.56,6,hammer1.bmp,1,[-0.85555556 -0.79333333],[-0.83333333 -0.8       ],0.02320068113091227,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,7892.21,3,eis1.bmp,1,[0.49814815 0.28666667],[0.83333333 0.        ],0.4410520220398096,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3188.71,2,blume1.bmp,1,[-0.82407407 -0.40444444],[-0.83333333 -0.4       ],0.010270684906564506,BME306,7.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
