answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
0,5034.87,9,klammer1.bmp,1,[ 0.16851852 -0.06222222],[0.5 0. ],0.3372707777193711,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2537.0,4,elefant1.bmp,1,[-0.18148148 -0.77333333],[-0.16666667 -0.8       ],0.03050557078810971,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3208.36,3,eis1.bmp,1,[0.52037037 0.38      ],[0.83333333 0.        ],0.49228631525419936,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1447.48,1,auto1.bmp,1,[0.70925926 0.39333333],[0.83333333 0.4       ],0.12425304946673653,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1678.06,10,pferd1.bmp,1,[-0.14259259 -0.04      ],[-0.16666667  0.        ],0.04668576916496079,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1376.59,7,hund1.bmp,1,[-0.12962963  0.28888889],[-0.16666667  0.4       ],0.11712139482105123,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2602.32,12,reifen1.bmp,1,[-0.82222222 -0.38222222],[-0.83333333  0.4       ],0.782301132383429,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1259.19,6,hammer1.bmp,1,[-0.85       -0.77333333],[-0.83333333 -0.8       ],0.031446603773522035,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3418.87,2,blume1.bmp,1,[-0.4962963  -0.01111111],[-0.83333333 -0.4       ],0.5146149358850165,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1474.57,8,kerze1.bmp,1,[-0.52407407 -0.36222222],[-0.5 -0.4],0.04479644557720138,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2002.12,13,schale1.bmp,1,[ 0.2        -0.74666667],[ 0.16666667 -0.8       ],0.06289320754704406,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4697.66,0,apfel1.bmp,1,[0.26111111 0.31777778],[ 0.16666667 -0.4       ],0.7239645649878348,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1509.56,14,schlaeger1.bmp,1,[ 0.81111111 -0.80666667],[ 0.83333333 -0.8       ],0.023200681130912344,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1935.0,5,fisch1.bmp,1,[ 0.43333333 -0.43777778],[ 0.5 -0.4],0.07662639844251859,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,5161.01,11,pinguin1.bmp,1,[ 0.45740741 -0.75777778],[0.16666667 0.        ],0.811638675039763,BME306,5.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
