answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
0,3438.78,12,reifen1.bmp,1,[-0.81111111 -0.4       ],[-0.83333333  0.4       ],0.8003085824608493,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2616.81,1,auto1.bmp,1,[0.90555556 0.40888889],[0.83333333 0.4       ],0.07276717480014636,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2188.8,8,kerze1.bmp,1,[-0.37037037 -0.34      ],[-0.5 -0.4],0.1428420137001539,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,13585.31,3,eis1.bmp,1,[0.56296296 0.06      ],[0.83333333 0.        ],0.2769478961360986,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1784.17,4,elefant1.bmp,1,[-0.14074074 -0.79333333],[-0.16666667 -0.8       ],0.026769349629026117,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,5939.14,2,blume1.bmp,1,[-0.54814815 -0.36      ],[-0.83333333 -0.4       ],0.2879767175469371,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1803.86,5,fisch1.bmp,1,[ 0.45740741 -0.38      ],[ 0.5 -0.4],0.04705453159642099,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,9996.33,6,hammer1.bmp,1,[-0.80740741 -0.79333333],[-0.83333333 -0.8       ],0.026769349629026145,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3111.86,9,klammer1.bmp,1,[0.48518519 0.40666667],[0.5 0. ],0.40693642810121466,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,5593.05,13,schale1.bmp,1,[ 0.26666667 -0.68222222],[ 0.16666667 -0.8       ],0.15450438485127738,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1403.34,14,schlaeger1.bmp,1,[ 0.91111111 -0.74      ],[ 0.83333333 -0.8       ],0.09823127157911263,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,4661.52,7,hund1.bmp,1,[-0.12407407  0.37777778],[-0.16666667  0.4       ],0.04804119174471429,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4172.2,0,apfel1.bmp,1,[ 0.5        -0.49777778],[ 0.16666667 -0.4       ],0.3473781871941179,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4282.39,11,pinguin1.bmp,1,[ 0.23703704 -0.36666667],[0.16666667 0.        ],0.37335831780008266,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1951.0,10,pferd1.bmp,1,[-0.18333333  0.06888889],[-0.16666667  0.        ],0.07087634859474251,5GCA,1.00,00.00,female,English,morning,set-1,2,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
